======================================================================
==  PHASE 1: CONTAINER STARTING  (refresh -> steps 0..13 for every non-lazy singleton)
======================================================================
01 | STEP 0   | circularA        | postProcessBeforeInstantiation asked (returning null -> normal creation path)
02 | STEP 1   | circularA        | determineCandidateConstructors (constructor selection)
03 | STEP 1'  | circularA        | constructed (first of the A<->B cycle)
04 | STEP 2   | circularA        | postProcessMergedBeanDefinition (cache injection-point metadata; nothing injected yet)
05 | STEP 4   | circularA        | postProcessAfterInstantiation (true -> continue to property population)
06 | STEP 5   | circularA        | postProcessProperties (DI point; @Autowired/@Value/@Resource wired around here)
07 | STEP 0   | circularB        | postProcessBeforeInstantiation asked (returning null -> normal creation path)
08 | STEP 1   | circularB        | determineCandidateConstructors (constructor selection)
09 | STEP 1'  | circularB        | constructed (second of the A<->B cycle; wired with A's EARLY reference)
10 | STEP 2   | circularB        | postProcessMergedBeanDefinition (cache injection-point metadata; nothing injected yet)
11 | STEP 4   | circularB        | postProcessAfterInstantiation (true -> continue to property population)
12 | STEP 5   | circularB        | postProcessProperties (DI point; @Autowired/@Value/@Resource wired around here)
13 | STEP 3   | circularA        | getEarlyBeanReference INVOKED (a real circular reference is being resolved)
14 | STEP 7   | circularB        | postProcessBeforeInitialization boundary (context-Aware @ 7a + @PostConstruct @ 7b run here)
15 | STEP 7b  | circularB        | @PostConstruct: a is wired? true
16 | STEP 10  | circularB        | postProcessAfterInitialization boundary (AOP weaves here) -> returned the raw bean
17 | STEP 7   | circularA        | postProcessBeforeInitialization boundary (context-Aware @ 7a + @PostConstruct @ 7b run here)
18 | STEP 7b  | circularA        | @PostConstruct: b is wired? true
19 | STEP 10  | circularA        | postProcessAfterInitialization boundary (AOP weaves here) -> returned the raw bean
20 | STEP 0   | inventoryClient  | postProcessBeforeInstantiation asked (returning null -> normal creation path)
21 | STEP 1   | inventoryClient  | determineCandidateConstructors (constructor selection)
22 | STEP 1'  | inventoryClient  | constructed (a @Autowired field target, wired into OrderService at step 5)
23 | STEP 2   | inventoryClient  | postProcessMergedBeanDefinition (cache injection-point metadata; nothing injected yet)
24 | STEP 4   | inventoryClient  | postProcessAfterInstantiation (true -> continue to property population)
25 | STEP 5   | inventoryClient  | postProcessProperties (DI point; @Autowired/@Value/@Resource wired around here)
26 | STEP 7   | inventoryClient  | postProcessBeforeInitialization boundary (context-Aware @ 7a + @PostConstruct @ 7b run here)
27 | STEP 10  | inventoryClient  | postProcessAfterInitialization boundary (AOP weaves here) -> returned the raw bean
28 | STEP 0   | paymentGateway   | postProcessBeforeInstantiation asked (returning null -> normal creation path)
